,Number of steps,Surface coverage,Schwoebel barrier,Desorption probability,Regime,Growth rate,Rms
5546,7.0,0.1019,0.371254,0.17268756,2.0,0.32158253839342654,0.8299714850922301
5547,7.0,0.1025,0.531035,0.01624815,2.0,0.3627176646240946,0.6978323170546336
5548,7.0,0.1017,0.789266,0.57235185,0.0,0.014362524271706414,0.45375883509157516
5549,7.0,0.1016,0.922692,5.958e-05,1.0,0.019906491649394096,0.4955303355734851
5550,7.0,0.1031,0.203136,0.52505373,1.0,0.07104691263538059,0.45449469499132295
5551,7.0,0.1026,0.481027,0.00096248,0.0,0.005988596479677214,0.4520062768337101
5552,7.0,0.1038,0.174328,1.116e-05,2.0,0.4146141630567545,0.6554588195505744
5553,7.0,0.1038,0.414961,0.00128469,1.0,0.015215615141843527,0.4628401874478393
5554,7.0,0.1045,0.570172,0.0574389,2.0,0.3504353403697556,0.7719977726874027
5555,7.0,0.1037,0.9088,0.01896885,2.0,0.4719618750035589,1.295033912534837
5556,7.0,0.105,0.394961,0.00015504,0.0,0.005872598542416369,0.45306731136954936
5557,7.0,0.1055,0.78097,0.91310313,1.0,0.07905103722397158,0.45282679663736164
5558,7.0,0.1061,0.041119,5.46e-06,0.0,0.006136012841939193,0.4530156266947316
5559,7.0,0.1061,0.447122,0.02473721,0.0,0.009149590317083829,0.4551457512810684
5560,7.0,0.1057,0.623321,0.04876221,2.0,0.3673231497450403,0.8029263621406688
5561,7.0,0.1073,0.943451,3.28e-06,0.0,0.00398551340353381,0.45173709533868595
5562,7.0,0.1085,0.058098,0.00134954,2.0,0.4598846657978202,0.6488403102630812
5563,7.0,0.1079,0.131003,0.00015389,0.0,0.006260841302899471,0.45230699598744545
5564,7.0,0.1077,0.328735,0.8241817,2.0,0.35427946530000115,0.8143102243135162
5565,7.0,0.1081,0.721655,0.00075522,0.0,0.005660076530612209,0.4543714337283554
5566,7.0,0.1084,0.807018,0.22166874,1.0,0.05979018586717607,0.4547520373298615
5567,7.0,0.1087,0.019487,1.31e-06,2.0,0.467096312053002,0.6567204878644304
5568,7.0,0.1086,0.568119,1.057e-05,0.0,0.005734023825420196,0.45411539124250194
5569,7.0,0.1093,0.672677,3.95e-06,1.0,0.02058426214724167,0.48321202505025335
5570,7.0,0.109,0.738918,9.12e-06,1.0,0.021624718046049297,0.4850548595794895
5571,7.0,0.1094,0.830251,0.05000778,1.0,0.03957518196662032,0.4578334305802741
5572,7.0,0.1097,0.55195,0.00214132,2.0,0.4935691099472713,0.799675566877888
5573,7.0,0.1104,0.973757,0.73565762,2.0,0.3739571863291215,0.8198348012838065
5574,7.0,0.1109,0.508714,0.00011056,0.0,0.006009160255899198,0.4520142446458104
5575,7.0,0.112,0.507878,0.00129329,0.0,0.006613739725452087,0.45179393468642554
5576,7.0,0.1134,0.084524,0.00100697,0.0,0.007067243837406578,0.45172861244595397
